canonical_smiles,pIC50
COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1,8.522878745280337
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,7.522878745280337
CC(=O)N1CCN(Cc2cc(C)cc(Nc3nccc(-n4ccnc4-c4ccccc4)n3)c2)CC1,6.402304814074488
Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,7.721246399047171
Cc1cc(CO)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,7.638272163982407
Cc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,6.82102305270683
Cc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(C(F)(F)F)c1,7.585026652029182
COc1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,7.055517327849832
COc1cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc(OC)c1,7.657577319177793
FC(F)(F)c1cccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,6.518557371497695
c1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cs1,7.657577319177793
c1ccc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)cc1,7.494850021680094
CN(C)CCCOc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,7.638272163982407
c1cncc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)c1,7.537602002101044
CN1CCN(CCCn2ccc(-c3cnc4c(-c5ccccc5)cnn4c3)cc2=O)CC1,7.096910013008056
c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1,7.744727494896693
O=c1cc(-c2cnc3c(-c4ccccc4)cnn3c2)ccn1CCCN1CCCCC1,7.154901959985743
c1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)ccn1,7.508638306165728
CN1CCN(CCCn2ccc(-c3cnc4c(-c5ccsc5)cnn4c3)cc2=O)CC1,7.698970004336019
COCCOc1cc2ncnc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,8.397940008672037
COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCCn1ccnn1,7.698970004336019
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1ccnn1,7.397940008672037
COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OCCn1ccnn1,6.221848749616356
CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,4.0
CC(CN(C)C)Cn1cc(-c2cncc(-c3ccsc3)c2)c2ccccc21,6.591760034688151
CC(=O)Nc1oc(-c2cc3ccccc3cc2O)nc1-c1ccccc1,6.494850021680094
c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCCN1CCCCC1,6.305394801066432
CN1CCN(CCCn2cc(-c3cncc(-c4ccsc4)c3)c3ccccc32)CC1,6.484126156288321
OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,8.301029995663981
COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1OC,6.376750709602099
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccccc3)o2)c1,6.537602002101044
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(Cl)c3)o2)c1,6.187086643357144
CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(F)c3)o2)c1,6.455931955649724
O=C(Nc1cccc(C(F)(F)F)c1)Nc1ncnc2nn3ccccc3c12,6.600326278518962
O=C(Nc1cccc([N+](=O)[O-])c1)Nc1ncnc2nn3ccccc3c12,5.0
N#Cc1cccc(NC(=O)Nc2ncnc3nn4ccccc4c23)c1,6.698970004336019
O=C(Nc1ccc(F)cc1)Nc1ncnc2nn3ccccc3c12,6.199970640755866
Fc1ccc(Nc2ncnn3cccc23)cc1Cl,2.6020599913279625
Cc1ccn2ncnc(Nc3ccc(F)c(Cl)c3)c12,2.6020599913279625
Cc1cc2c(Nc3ccc(F)c(Cl)c3)ncnn2c1,2.6020599913279625
Cc1ccc2c(Nc3ccc(F)c(Cl)c3)ncnn12,2.6020599913279625
Cc1ccc(Nc2ncnn3cccc23)cc1O,3.4436974992327127
Cc1ccc(Nc2ncnn3ccc(C)c23)cc1O,4.008773924307505
Cc1cc2c(Nc3ccc(C)c(O)c3)ncnn2c1,3.6716203965612624
Cc1ccc(Nc2ncnn3c(C)ccc23)cc1O,3.321481620959886
Cc1ccc(Nc2ncnn3cc(C)c(C)c23)cc1O,3.508638306165728
Cc1cccc(Cl)c1Nc1nc2ccc(N3CCN[C@@H](C)C3)nc2n2cncc12,6.0
Cc1cc(Br)ccc1C(=O)NS(=O)(=O)c1ccc(Cl)cc1,6.214670164989233
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc([N+](=O)[O-])cc1Cl,6.2076083105017466
CCc1cc(Cl)ccc1C(=O)NS(=O)(=O)c1ccc(Cl)cc1,6.200659450546419
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],4.958607314841775
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],4.886056647693163
N#Cc1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)c(Cl)c1,5.0
CS(=O)(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)c(Cl)c1,4.698970004336019
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccc(O)cc1Cl,4.823908740944319
Nc1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)c(Cl)c1,4.823908740944319
COc1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)c(OC)c1,4.698970004336019
Cc1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1,6.6777807052660805
O=C(NS(=O)(=O)c1ccc(Br)cc1)c1ccc(Cl)cc1Cl,6.619788758288394
O=C(NS(=O)(=O)c1cccc(Br)c1)c1ccc(Cl)cc1Cl,6.6020599913279625
COc1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1,6.455931955649724
CC(C)(C)c1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1,6.455931955649724
Cc1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1Cl,6.443697499232712
O=C(NS(=O)(=O)c1ccc(F)c(Cl)c1)c1ccc(Cl)cc1Cl,6.3872161432802645
O=C(NS(=O)(=O)c1ccc(F)cc1)c1ccc(Cl)cc1Cl,6.3872161432802645
O=C(NS(=O)(=O)c1cccc(Cl)c1)c1ccc(Cl)cc1Cl,6.356547323513813
O=C(NS(=O)(=O)c1ccc(Cl)c(Cl)c1)c1ccc(Cl)cc1Cl,6.337242168318426
CSc1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1,6.275724130399211
CC(=O)c1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1,6.251811972993799
Cc1cccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)c1,6.1249387366083
O=C(NS(=O)(=O)c1ccc(Br)c(Br)c1)c1ccc(Cl)cc1Cl,6.040958607678906
O=C(NS(=O)(=O)c1cccc([N+](=O)[O-])c1)c1ccc(Cl)cc1Cl,6.040958607678906
COc1cccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)c1,6.040958607678906
CN(C)c1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1,6.031517051446065
O=C(NS(=O)(=O)c1cccc(-c2ccccc2)c1)c1ccc(Cl)cc1Cl,6.013228265733755
O=C(NS(=O)(=O)c1ccccc1Cl)c1ccc(Cl)cc1Cl,4.853871964321762
O=C(NS(=O)(=O)c1cc([N+](=O)[O-])ccc1Cl)c1ccc(Cl)cc1Cl,4.698970004336019
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)NC(=O)c1ccc(Cl)cc1Cl,4.795880017344075
Cc1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)c(Br)c1,4.698970004336019
O=C(NS(=O)(=O)c1ccccc1)c1ccc(Cl)cc1Cl,6.275724130399211
